ID,date,username,vedict
101327403396,2014-07-21,Полетов Роман Фёдорович,Возвращение молодости
94425944135,2005-07-18,Агапкин Роман Виталиевич,Обретение баланса сил
72534575060,2017-08-23,Шекимов Максим Романович,Исцеление разбитого сердца
80381642878,2000-12-08,Ялаков Олег Максимович,Помощь от незнакомца
83653092762,2014-11-09,Куряев Борис Данилович,Любовь наступает
125134217401,2000-12-24,Алесинская Тамара Сергеевна,Новый старт
101275673308,2006-07-16,Торчилдина Тамара Олеговна,Возвращение утраченных воспоминаний
120134406974,2011-06-27,Гогощапова Анастасия Борисовна,Разрешение загадки
116504530188,2001-09-16,Воеводкин Дмитрий Иванович,Удачное путешествие
123441774243,2016-08-12,Разинская Маргарита Егоровна,Покупка мечты
79940392175,2022-07-17,Емин Илья Антонович,Приобретение магической силы
93151151494,2014-07-28,Сафицина Тамара Федоровна,Обретение внутреннего покоя
71035921588,2010-05-22,Саямов Виталий Вадимович,Изменение внешности
98563562937,2013-09-12,Ивлюшова Вероника Олеговна,Новые возможности
118518256260,2005-09-25,Слезинская Александра Олеговна,Воссоединение с любимым
105428367711,2006-05-28,Левуткин Алексей Иванович,Покорение неприступной крепости
87758644164,2003-10-12,Бутакова Алла Федоровна,Новая жизнь
136431623071,2019-06-09,Стрибкова Александра Андреевна,Обретение мира
89196487910,2022-05-09,Вараев Георгий Сергеевич,Спасение от опасности
78513377306,2019-05-15,Фортов Юрий Аркадиевич,Здоровье улучшается
99426516363,2008-06-18,Бочина Тамара Николаевна,Обретение душевного спокойствия
109815312310,2006-12-14,Пананов Герасим Денисович,Покорение запретных земель
101809012156,2021-06-28,Тибукова Елена Петровна,Возвращение домой
65886357101,2000-07-20,Люзин Алексей Леонидович,Исцеление разбитого сердца
92453539051,2005-09-24,Финоева Зинаида Ивановна,Покорение тайного мира
128423897951,2010-06-09,Хуслиншина Клара Михайловна,Изменение судьбы нации
107212089870,2021-11-24,Биюшкин Николай Аркадиевич,Долгожданная встреча
155437708400,2000-09-10,Афонишева Александра Богдановна,Любовь наступает
119949260989,2016-08-08,Церлевская Тамара Валерьевна,Удачное путешествие
90989522799,2004-05-22,Ахтанин Павел Иванович,Обретение мира
94419427508,2000-05-27,Чегеров Виталий Павлович,Разрешение загадки
105217298083,2001-07-28,Чичерева Зинаида Кирилловна,Признание правды
107927865830,2016-08-25,Свеклина Людмила Андреевна,Победа над смертью
115202504362,2022-09-20,Алабердова Валентина Дмитриевна,Покорение невозможного
81142505304,2023-05-09,Загниткин Иван Борисович,Здоровье улучшается
76272536969,2007-07-28,Машилов Алексей Юрьевич,Победа над злом
98954347741,2012-06-12,Казызаев Леонид Георгиевич,Победа над силами природы
101344190083,2004-11-24,Хованов Георгий Валериевич,Обретение внутреннего покоя
121071630292,2000-11-16,Мухометова Ксения Кирилловна,Новое начало
100780527589,2016-10-28,Пестинов Геннадий Иванович,Покорение неприступной крепости
104196369467,2021-06-17,Шеботин Степан Валериевич,Раскрытие заговора
132314960517,2021-08-07,Шемкасова Анастасия Петровна,Покорение невозможного
125235636349,2017-10-23,Кахаков Геннадий Алексеевич,error
95352248671,2021-11-17,Криволанов Валерий Павлович,Избавление от проклятия
96365349266,2002-11-24,Петрящева Алиса Ивановна,Изменение будущего мира
99182565912,2003-09-28,Геркин Константин Фёдорович,Раскрытие заговора
139394858192,2016-12-11,Стродымова Людмила Михайловна,Приобретение дружбы
99313003147,2012-05-18,Савукин Семён Максимович,Возрождение таланта
105381084759,2008-06-11,Грюканов Игорь Леонидович,Покорение страсти
165091027733,2006-11-23,Дамсонова Александра Эдуардовна,Победа над собой
83982286587,2006-11-28,Куцаков Алексей Иванович,Достижение цели
76279681418,2016-05-24,Алюлина Ева Дмитриевна,Воссоединение семьи
90240057241,2016-11-16,Марзаганов Тарас Леонидович,Покорение неприступной крепости
88121641406,2002-05-21,Садуллина Елена Богдановна,Восстановление мира и гармонии
121219802159,2004-05-07,Кадухин Евгений Викторович,Семейное счастье
96548012381,2006-12-16,Трацевская Карина Ивановна,Разрешение загадки
125271951916,2011-05-23,Почтина Маргарита Николаевна,Победа над проклятием семьи
96627574730,2020-05-08,Траксин Виталий Иванович,Предсказание будущего
80222366302,2014-12-13,Сорнев Михаил Юриевич,Покорение невозможного
93750157660,2008-05-11,Косапова Ксения Игоревна,Здоровье улучшается
106763979876,2005-10-10,Аюкина Жанна Богдановна,Обретение счастья
112853294915,2003-12-12,Сталевский Виталий Василиевич,Обретение баланса сил
81708856898,2015-05-26,Сочилкин Борис Алексеевич,Победа над силами природы
72875245624,2019-10-24,Осинин Герасим Сергеевич,Долгожданная встреча
110216157748,2000-12-21,Солотин Геннадий Юрьевич,Изменение хода истории
88112881582,2022-10-27,Фиаткина Жанна Ивановна,Восстановление порядка в мире
125296820174,2001-05-11,Гарькавцев Альберт Леонидович,Победа над силами природы
78904060621,2003-10-18,Ретьев Евгений Андреевич,Покупка мечты
122002947530,2016-08-18,Даминский Григорий Виталиевич,Семейное счастье
95295269151,2020-05-28,Чупров Борис Яковлевич,Рождение ребенка
114554739918,2023-09-18,Ротанина Людмила Романовна,Приобретение секрета
113561929076,2015-06-08,Носатов Виталий Максимович,Победа над тьмой внутри
97528349554,2004-10-25,Пожильцева Инна Петровна,Приключение начинается
107674274198,2009-06-10,Селынин Александр Сергеевич,Открытие новой магии
86752394802,2018-05-22,Курзеев Станислав Юриевич,Изменение судьбы нации
93496397955,2008-11-12,Спасина Анна Евгеньевна,Победа над тьмой внутри
87862775645,2016-10-11,Хамбеков Никита Олегович,Долгожданная встреча
108825598524,2011-08-27,Жмирнова Александра Яковлевна,Любовь наступает
119777626244,2002-12-27,Напшева Виктория Михайловна,Обретение счастья
76099070869,2008-11-16,Бацалев Руслан Данилович,Победа над судьбой
84121647529,2011-05-07,Загороднов Юрий Романович,Покорение тайного мира
93339322833,2006-05-17,Хамхоева Раиса Федоровна,Помощь от незнакомца
109385916556,2005-08-09,Черписов Руслан Леонидович,Воссоединение с потерянным
112460266314,2015-10-12,Батулина Юлия Богдановна,Изменение будущего мира
97755552749,2016-07-16,Должиков Михаил Георгиевич,Покорение неприступной крепости
86655302916,2008-10-13,Наролин Олег Романович,Открытие новой реальности
82934935597,2022-12-11,Никулова Надежда Егоровна,Избавление от проклятия
120903612359,2005-11-12,Серьезнов Владислав Павлович,Покорение невозможного
101997920947,2015-08-20,Муравкина Марина Петровна,Победа над злом
117632981244,2016-08-11,Аборонов Георгий Адамович,Помощь от незнакомца
82706078107,2011-06-21,Ляпорова Валерия Вадимовна,Приобретение секрета
127731060267,2002-07-25,Хлебянкина Наталья Николаевна,Раскрытие заговора
98057578291,2006-05-18,Биржева Вера Олеговна,Приобретение дружбы
76601614104,2001-11-25,Кабелев Артур Денисович,Приобретение знания о прошлом
116243722588,2023-09-10,Нипольская Жанна Борисовна,Достижение цели
71819623722,2006-12-18,Суйков Герасим Юриевич,Обретение внутреннего покоя
101162457165,2021-07-27,Нюхарев Денис Максимович,Изменение судьбы нации
74284736539,2002-05-27,Закуев Юрий Денисович,Изменение будущего мира
124495559187,2018-10-13,Дробницкий Степан Михаилович,Обретение мудрости
113148298837,2015-11-08,Гладнов Вячеслав Романович,Признание любви
99869667861,2004-05-28,Адасинский Аркадий Адамович,Победа над силами природы
84915645523,2018-07-27,Гричихин Тарас Аркадиевич,Удачное путешествие
99612089823,2008-07-22,Разсудова Раиса Федоровна,Победа над смертью
107192637272,2000-10-17,Парадизов Роман Георгиевич,Здоровье улучшается
89844114841,2014-10-28,Снетов Семён Денисович,Победа над тьмой внутри
115330876671,2017-10-25,Дубанов Константин Юрьевич,Рождение ребенка
93886999737,2005-08-18,Аврамков Пётр Фёдорович,Победа над судьбой
98984492587,2022-08-11,Анетдинова Ксения Петровна,Победа над тьмой внутри
97420198135,2016-10-14,Стукнина Яна Николаевна,Признание правды
92356185748,2009-12-13,Джагаров Федор Денисович,Обретение мира
113987466688,2010-07-16,Капорулин Артём Олегович,Победа над силами природы
116585910637,2006-10-24,Саустина Вероника Борисовна,Любовь наступает
103417591372,2012-08-08,Турахина Яна Богдановна,Здоровье улучшается
107797636697,2015-06-27,Надточих Максим Петрович,Предсказание будущего
130651460986,2003-08-16,Шимарский Владимир Валериевич,Покупка мечты
101992862111,2001-07-17,Стрежнева Тамара Василевна,Победа над злом
92179202059,2009-08-20,Гагачева Ева Максимовна,Приобретение силы
89976789769,2007-06-10,Кашеева Ольга Алексеевна,Обретение баланса сил
119492655566,2017-12-28,Метлицкий Кирилл Николаевич,Разрешение конфликта
89472990172,2022-09-22,Бушакова Наталья Андреевна,Новое начало
112707949568,2021-10-24,Рюмышева Кристина Николаевна,Восстановление памяти
110170966703,2001-07-28,Сипаторов Олег Павлович,Обретение мира
111109357768,2012-09-12,Свичинский Артур Данилович,Новое начало
77694173661,2017-06-14,Устюшкин Константин Романович,Успех в бизнесе
110760733722,2000-06-07,Пивунова Вероника Федоровна,Разрешение конфликта
93259832035,2016-05-07,Кутяева Вероника Никитична,Рождение ребенка
95252865515,2020-10-23,Кирясова Раиса Вадимовна,Новое начало
84240410040,2000-09-14,Видулова Алла Михайловна,Изменение судьбы нации
95950410607,2014-10-14,Горекина Мария Василевна,Изменение будущего мира
124805502591,2012-09-26,Шамплетова Зинаида Валерьевна,Обретение внутреннего покоя
82335912709,2007-06-20,Шаракина Галина Романовна,Возвращение потерянного
118149788659,2020-09-23,Вербников Андрей Алексиевич,Избавление от проклятия
103163709553,2018-09-22,Кушунина Виолетта Егоровна,Воссоединение семьи
104766206156,2005-08-21,Стельников Вадим Юриевич,Приключение начинается
97395541301,2012-08-14,Княткина Ксения Евгеньевна,Покорение запретных земель
81178698334,2021-08-24,Булеев Иван Антонович,Возвращение потерянного
120272691896,2010-07-10,Пешковский Виталий Валериевич,Приключение начинается
125972673307,2014-05-23,Старастина Клавдия Евгеньевна,Помощь от незнакомца
101618549915,2001-07-14,Петрухин Геннадий Кириллович,Приобретение сверхъестественных способностей
83697664276,2017-08-09,Гусарева Алина Эдуардовна,Воссоединение с потерянным
73515170779,2003-09-21,Смирягин Степан Юрьевич,Покорение запретных земель
115151119196,2005-06-09,Пиканин Альберт Алексеевич,Победа над тьмой внутри
107556476107,2019-08-07,Комбарева Алиса Алексеевна,Признание своей уникальности
122998677266,2017-07-08,Осинягов Аркадий Алексиевич,Победа над проклятием семьи
134724770118,2016-07-12,Уляшкина Людмила Алексеевна,Возвращение потерянного
124858889398,2019-12-18,Кочебина Екатерина Кирилловна,Рождение ребенка
110605846192,2019-05-12,Чуряков Аркадий Аркадиевич,Новые возможности
108933250945,2005-12-19,Кредисов Герасим Петрович,Успех в учебе
85894086399,2011-11-21,Годжев Виталий Георгиевич,Разрешение загадки
131753794006,2018-08-11,Полчанова Зинаида Викторовна,Избавление от проклятия
66738616020,2010-10-22,Линяев Ярослав Сергеевич,Обретение баланса сил
116915584838,2007-12-28,Обрезкова Любовь Максимовна,Покорение невидимого врага
77460185682,2022-11-24,Транкин Артур Михаилович,Семейное счастье
98646325764,2009-09-21,Батягина Ольга Федоровна,Открытие нового мира
74341900750,2003-12-18,Пудин Вадим Борисович,Восстановление памяти
114468842705,2007-07-25,Бруновская Светлана Вадимовна,Покорение магического зверя
95653326112,2019-09-08,Лошин Денис Михаилович,Спасение от опасности
108604033410,2010-12-15,Панцирева Анна Никитична,Победа над проклятием семьи
110986231664,2012-10-25,Мишунина Любовь Ивановна,Приобретение сверхъестественных способностей
105481383079,2023-06-16,Зигангиров Пётр Алексиевич,Воссоединение с потерянным
124504858047,2000-12-27,Маркузин Алексей Романович,Изменение характера
116013577170,2003-08-13,Болышаков Альберт Михаилович,error
125086636544,2011-06-07,Корнизова Кристина Ивановна,Победа над врагом
92769930788,2021-06-27,Усыпин Яков Алексеевич,Обретение мудрости
84481291019,2010-12-25,Зубрилин Роман Фёдорович,Возвращение утраченных воспоминаний
128151277780,2015-10-13,Шалкинская Надежда Егоровна,Победа над смертью
83904025709,2020-08-25,Лисафьев Артур Данилович,Победа над сомнениями
118563202053,2008-11-28,Сплетукова Евгения Дмитриевна,Воссоединение с потерянным
119095774078,2018-12-14,Стуковкин Вячеслав Петрович,Спасение от опасности
89422955713,2019-08-25,Лапшев Илья Тимофеевич,Возвращение молодости
89941613388,2021-05-20,Моралин Альберт Игоревич,Разрешение загадки
100171850564,2007-08-14,Эльдаров Виктор Романович,Воссоединение с потерянным
128619803715,2017-07-20,Амуркова Екатерина Федоровна,Восстановление дружбы
85542361449,2012-10-25,Карюкова Карина Ивановна,Победа над собой
95537026018,2002-05-14,Черский Виталий Романович,Избавление от проклятия
98034417701,2010-06-19,Хондогина Алёна Николаевна,Успех в бизнесе
108531023713,2022-12-12,Аболымов Артур Викторович,Открытие тайны
81134280995,2011-09-09,Каменев Степан Фёдорович,Новое начало
87128463345,2019-06-10,Шахиева Любовь Евгеньевна,Возвращение утраченных воспоминаний
114545917247,2012-11-16,Афиноинова Раиса Игоревна,Приобретение секрета
99403527280,2011-08-27,Хавкунов Роман Василиевич,Победа над смертью
95828108082,2023-07-18,Масеткин Герасим Викторович,Успех в искусстве
157914773173,2021-08-20,Хрипушкина Елизавета Максимовна,Приобретение сверхъестественных способностей
118963109658,2014-09-19,Атакулиева София Максимовна,Победа над врагом
106489650344,2009-05-08,Череменин Руслан Николаевич,Признание своей уникальности
123323547896,2013-10-16,Летовина Евгения Борисовна,Покорение невозможного
118647473818,2023-06-14,Ривлина Валентина Николаевна,Новая жизнь
93669103460,2014-11-19,Потанкин Владимир Денисович,Избавление от проклятия
111889466404,2021-08-26,Икрянников Борис Леонидович,Открытие новой магии
113034634738,2014-06-21,Сыровешкин Владислав Юриевич,Победа над сомнениями
106205996709,2017-06-10,Магомаева Алёна Аркадьевна,Новый дом
103429165542,2016-12-22,Шаволина Надежда Викторовна,Изменение хода истории
113652718563,2016-08-19,Башкайкина Ксения Ивановна,Воссоединение семьи
116890339406,2012-11-25,Камлевская Алиса Сергеевна,Покорение страсти
92941745162,2014-11-19,Лодякова Наталия Петровна,Покорение магического зверя
103852136686,2018-10-21,Ульчицкая Жанна Никитична,Открытие новой магии
77086853721,2002-08-15,Умарова Наталья Романовна,Покорение неприступной крепости
119107773435,2006-07-26,Пистракова Вероника Егоровна,Обретение баланса сил
111617664134,2019-10-15,Косячкова Полина Ивановна,Покорение тайного мира
87126045024,2019-07-17,Бутаева Любовь Евгеньевна,Восстановление дружбы
144113056476,2007-06-15,Сергушова Катерина Эдуардовна,Спасение от опасности
80750158407,2013-10-14,Белькова Лариса Борисовна,Признание любви
100129839496,2005-11-11,Ловнева Кристина Максимовна,Успех в бизнесе
103138532662,2020-10-26,Фоничкин Валерий Фёдорович,Покорение запретных земель
90029430812,2010-07-09,Козурова Кристина Петровна,Покорение тайного мира
111640684851,2000-09-13,Культепина Юлия Андреевна,Новая жизнь
119435939749,2012-08-12,Поплавков Василий Георгиевич,Разрешение загадки
98731159447,2009-05-23,Колдышов Геннадий Адамович,Новое начало
85148991256,2005-11-25,Айдашева Дарья Валерьевна,Победа над несправедливостью
98608716577,2002-10-17,Ситушкина Юлия Егоровна,Признание героем
97820949142,2004-09-28,Щемелина Лиза Кирилловна,Долгожданная встреча
121212618574,2003-08-14,Шипкарев Алексей Леонидович,Изменение судьбы
134081932758,2012-08-16,Калтагова Полина Яковлевна,Покорение неприступной крепости
88379395670,2001-12-08,Пацуков Яков Виталиевич,Исцеление сердца
120112698143,2000-11-19,Мурсякаева Ирина Алексеевна,Приобретение знания о прошлом
92937575039,2005-12-28,Хмелевская Яна Дмитриевна,Признание правды
90379520848,2011-07-22,Курекова Ольга Викторовна,Признание героем
106498766247,2023-11-22,Месягутов Валерий Олегович,Возвращение молодости
88562193402,2006-06-16,Паниотова Алла Богдановна,Рождение ребенка
106719058428,2018-06-12,Ветошников Яков Иванович,Признание своей уникальности
80970557359,2001-11-27,Горовых Эдуард Юриевич,Приобретение магической силы
123120359332,2015-10-10,Лобашкина Любовь Леонидовна,Открытие новой реальности
106593901432,2017-07-11,Зиадинова Анна Федоровна,Возвращение домой
87605868388,2020-10-16,Старицын Василий Максимович,Воссоединение с потерянным
83886676693,2014-06-25,Ципкова Лиза Евгеньевна,Покорение страсти
72592944907,2022-07-26,Тукачева Дарья Аркадьевна,Победа над судьбой
105502445067,2014-09-10,Джиянтаева Валентина Федоровна,Возвращение молодости
109913762591,2021-05-22,Игнатычева Оксана Кирилловна,Семейное счастье
94969085796,2007-05-18,Кудьмин Анатолий Павлович,Семейное счастье
104800215066,2017-07-12,Азарухин Роман Георгиевич,Признание своих способностей
100114751981,2016-06-11,Баровкова Анна Егоровна,Признание своей уникальности
129315662899,2011-12-09,Палиевская Кристина Борисовна,Здоровье улучшается
56894094174,2019-05-18,Туйбова Ольга Ивановна,Здоровье улучшается
86282907821,2000-12-14,Полынков Валентин Яковлевич,Удачное путешествие
105492191432,2005-11-28,Ганцев Георгий Виталиевич,Приобретение дружбы
127235571021,2020-11-19,Алимовская Светлана Евгеньевна,Богатство приходит
116476225303,2006-10-11,Лагдышев Георгий Петрович,Возвращение молодости
76434935848,2015-08-11,Черчина Клара Романовна,Изменение судьбы
118024051486,2004-10-19,Бертняев Владимир Аркадиевич,Исцеление сердца
123480551772,2011-09-07,Выскачков Артём Василиевич,Приобретение сверхъестественных способностей
97310754329,2010-09-11,Галкова Дарья Алексеевна,Обретение вечной молодости
82617324440,2019-10-14,Фуфина Виктория Евгеньевна,Покорение запретных земель
84616241449,2005-06-25,Пернов Александр Юриевич,Помощь от незнакомца
106279020135,2007-09-17,Косираева Алиса Алексеевна,Обретение душевного спокойствия
137540067688,2001-09-07,Нестюркина Софья Николаевна,Признание любви
104619359847,2020-11-26,Зибницкая Вера Вадимовна,Признание своей уникальности
87804523829,2016-06-24,Вергильева Алена Никитична,Успех в учебе
113856703935,2021-09-11,Княжеский Валерий Андреевич,Предсказание будущего
91660849734,2023-07-28,Бабахова София Викторовна,Покорение невидимого врага
85617736935,2003-11-15,Залютаев Федор Олегович,Открытие новой реальности
121541851850,2004-05-27,Дороганов Семён Аркадиевич,Предсказание будущего
110921864594,2005-11-16,Загорова Клавдия Дмитриевна,Успех в учебе
123539570757,2023-11-20,Спудицкий Степан Михаилович,Освобождение из плена
62511827196,2005-10-24,Сизинева Клара Борисовна,Покорение магического зверя
98231081539,2007-06-21,Рослых Алена Алексеевна,Приобретение сверхъестественных способностей
99169742121,2003-07-18,Дикисова Марина Олеговна,Воссоединение с прошлым
113412876736,2013-06-28,Пахалуев Георгий Алексиевич,Исцеление сердца
94819373600,2009-12-15,Могжанов Василий Василиевич,Покорение невозможного
113984377488,2012-12-26,Шпигунова Алена Петровна,Освобождение из плена
96065930753,2010-11-23,Алырина Мария Дмитриевна,Восстановление порядка в мире
97896593700,2022-10-09,Галицина Марина Егоровна,Изменение хода истории
87511513445,2003-11-10,Акинкина Раиса Кирилловна,Путешествие во времени
86845124750,2006-07-28,Заводская Кира Максимовна,Избавление от проклятия
124564202097,2006-07-11,Рогинский Виктор Романович,Изменение характера
94969502013,2021-09-09,Дулатова Надежда Игоревна,Победа над судьбой
80282757157,2022-05-16,Ветошкин Ярослав Юриевич,Покорение невидимого врага
114872843342,2020-10-19,Колбасов Максим Леонидович,Помощь от духов
111213115793,2010-07-17,Угайкина Оксана Алексеевна,Покорение магического зверя
99563072313,2000-07-13,Антиничева Ева Вадимовна,Новый дом
115018672017,2009-09-21,Месковский Василий Алексиевич,Обретение счастья
118127093127,2012-09-09,Авдоничев Григорий Кириллович,Покорение запретных земель
77751915904,2010-06-17,Конюшков Степан Юрьевич,Восстановление памяти
101025698475,2013-09-09,Гандабулов Юрий Викторович,Покупка мечты
101394917711,2006-12-20,Витякова Зинаида Викторовна,Изменение судьбы
87840434316,2008-11-20,Филяев Семён Аркадиевич,Возвращение молодости
121081489597,2019-10-22,Кижикин Геннадий Валериевич,Покорение невидимого врага
132540932339,2012-06-12,Патрашкова Раиса Евгеньевна,Победа над тьмой
61961971305,2001-06-24,Толов Борис Адамович,Новые возможности
116625147647,2011-08-22,Залавкова Елизавета Петровна,Изменение внешности
116200174221,2022-10-19,Рукозенков Валентин Алексиевич,Победа над врагом
79302960345,2000-09-14,Пемов Альберт Валериевич,Успех в учебе
121023047059,2012-10-15,Батрамеев Григорий Леонидович,Воссоединение с любимым
139179726404,2004-08-19,Лемзякова Ксения Эдуардовна,Обретение мира
122210171628,2004-05-10,Тадорская Зинаида Викторовна,Покорение невидимого врага
87415660275,2020-07-14,Тяжких Дмитрий Адамович,Приобретение дружбы
95699990837,2012-12-20,Русьянов Вячеслав Денисович,Покорение запретных земель
101242229166,2002-09-08,Вилякин Виталий Олегович,Избавление от проклятия
135418183144,2016-10-27,Ковганкин Вадим Максимович,Приобретение сверхъестественных способностей
106802786874,2017-08-23,Лушаков Константин Павлович,Победа над злом
112663385556,2023-09-28,Кекухова Людмила Федоровна,Изменение характера
72387232084,2000-07-21,Базылева Клара Сергеевна,Возвращение утраченных воспоминаний
84130612863,2001-08-16,Керасова Лариса Никитична,Победа над собой
124496860418,2006-05-25,Спутнова Александра Викторовна,Любовь наступает
92477001928,2019-05-11,Шмайлова Яна Валерьевна,Приобретение знания о прошлом
100713417244,2018-06-28,Казявкин Альберт Фёдорович,Новая жизнь
86549671682,2018-05-24,Замилова Катерина Егоровна,Обретение баланса сил
119320295278,2000-07-24,Мунзяфяров Владислав Юриевич,Долгожданная встреча
99428824084,2014-11-25,Плявина Инна Яковлевна,Воссоединение с любимым
103170390478,2012-06-25,Котлуков Антон Алексеевич,Возвращение потерянного
75906801090,2013-07-18,Тарикова Клара Валерьевна,Победа над тьмой
92058680663,2008-12-25,Окритова Алина Николаевна,Победа над проклятием семьи
102330626253,2012-11-24,Булышев Василий Яковлевич,Возвращение потерянного
130667186314,2022-08-26,Кутураева Лариса Дмитриевна,Покорение невозможного
84431155970,2000-07-25,Бредов Герасим Виталиевич,Обретение внутреннего покоя
83105723241,2005-08-26,Махин Федор Данилович,Приобретение силы
109313912077,2022-09-28,Мячев Геннадий Леонидович,Любовь наступает
96677910841,2014-05-14,Шлойкина Ева Борисовна,Новое начало
113093813361,2022-06-09,Забористов Роман Сергеевич,Возвращение потерянного
80014019805,2023-09-11,Пряхов Максим Андреевич,Признание героем
72217206792,2014-08-08,Аладов Борис Фёдорович,error
95328112215,2004-06-15,Шулянская Алена Эдуардовна,Обретение внутреннего покоя
