date,username,verdict
2017-10-12,Бикмурдина Наталья Петровна,Победа над силами природы
2009-11-28,Шамшина Маргарита Кирилловна,Новый старт
2016-05-19,Пахошкина Елена Кирилловна,Признание своих способностей
2012-10-15,Ланкина Юлия Николаевна,Разрешение семейной тайны
2019-12-28,Алембекова Карина Николаевна,Победа над проклятием семьи
2015-10-17,Пащарина Алиса Михайловна,Победа в соревновании
2012-06-24,Бугаков Виталий Сергеевич,Признание правды
2011-11-23,Минникаев Станислав Юриевич,Победа над злом
2009-12-13,Бутлицкий Аркадий Михаилович,Успех в учебе
2007-09-26,Гиверенков Дмитрий Леонидович,Новая работа
2000-05-20,Вышенков Артур Романович,Богатство приходит
2008-12-13,Копчинский Степан Юриевич,Признание своей уникальности
2010-05-12,Атазарова Ирина Евгеньевна,Освобождение из плена
2010-12-15,Пименкова Елена Максимовна,Изменение характера
2008-06-18,Айдина Елизавета Валерьевна,Покорение тайного мира
2007-08-12,Янкулин Ярослав Яковлевич,Обретение душевного спокойствия
2009-07-21,Турнев Иван Павлович,Покорение невозможного
2015-12-12,Курбашов Федор Викторович,Победа над сомнениями
2004-10-16,Аничин Валентин Вадимович,Рождение ребенка
2016-08-28,Кардаев Денис Яковлевич,Новая работа
2023-06-28,Беденгов Николай Сергеевич,Разрешение загадки
2016-07-12,Казневская София Аркадьевна,Победа в соревновании
2006-12-13,Вощаникин Борис Виталиевич,Обретение вечной молодости
2012-06-25,Межинский Григорий Юрьевич,Покорение магического зверя
2011-07-11,Теумин Борис Михаилович,Раскрытие заговора
2000-12-27,Шутенков Артур Евгеньевич,Избавление от проклятия
2009-07-09,Бердинова Зинаида Андреевна,Удачное путешествие
2005-08-27,Севолкин Эдуард Максимович,Покорение невозможного
2014-07-21,Полетов Роман Фёдорович,Возвращение молодости
2005-07-18,Агапкин Роман Виталиевич,Обретение баланса сил
2017-08-23,Шекимов Максим Романович,Исцеление разбитого сердца
2000-12-08,Ялаков Олег Максимович,Помощь от незнакомца
2014-11-09,Куряев Борис Данилович,Любовь наступает
2000-12-24,Алесинская Тамара Сергеевна,Новый старт
2006-07-16,Торчилдина Тамара Олеговна,Возвращение утраченных воспоминаний
2011-06-27,Гогощапова Анастасия Борисовна,Разрешение загадки
2001-09-16,Воеводкин Дмитрий Иванович,Удачное путешествие
2016-08-12,Разинская Маргарита Егоровна,Покупка мечты
2022-07-17,Емин Илья Антонович,Приобретение магической силы
2014-07-28,Сафицина Тамара Федоровна,Обретение внутреннего покоя
2010-05-22,Саямов Виталий Вадимович,Изменение внешности
2013-09-12,Ивлюшова Вероника Олеговна,Новые возможности
2005-09-25,Слезинская Александра Олеговна,Воссоединение с любимым
2006-05-28,Левуткин Алексей Иванович,Покорение неприступной крепости
2003-10-12,Бутакова Алла Федоровна,Новая жизнь
2019-06-09,Стрибкова Александра Андреевна,Обретение мира
2022-05-09,Вараев Георгий Сергеевич,Спасение от опасности
2019-05-15,Фортов Юрий Аркадиевич,Здоровье улучшается
2008-06-18,Бочина Тамара Николаевна,Обретение душевного спокойствия
2006-12-14,Пананов Герасим Денисович,Покорение запретных земель
2021-06-28,Тибукова Елена Петровна,Возвращение домой
2000-07-20,Люзин Алексей Леонидович,Исцеление разбитого сердца
2005-09-24,Финоева Зинаида Ивановна,Покорение тайного мира
2010-06-09,Хуслиншина Клара Михайловна,Изменение судьбы нации
2021-11-24,Биюшкин Николай Аркадиевич,Долгожданная встреча
2000-09-10,Афонишева Александра Богдановна,Любовь наступает
2016-08-08,Церлевская Тамара Валерьевна,Удачное путешествие
2004-05-22,Ахтанин Павел Иванович,Обретение мира
2000-05-27,Чегеров Виталий Павлович,Разрешение загадки
2001-07-28,Чичерева Зинаида Кирилловна,Признание правды
2016-08-25,Свеклина Людмила Андреевна,Победа над смертью
2022-09-20,Алабердова Валентина Дмитриевна,Покорение невозможного
2023-05-09,Загниткин Иван Борисович,Здоровье улучшается
2007-07-28,Машилов Алексей Юрьевич,Победа над злом
2012-06-12,Казызаев Леонид Георгиевич,Победа над силами природы
2004-11-24,Хованов Георгий Валериевич,Обретение внутреннего покоя
2000-11-16,Мухометова Ксения Кирилловна,Новое начало
2016-10-28,Пестинов Геннадий Иванович,Покорение неприступной крепости
2021-06-17,Шеботин Степан Валериевич,Раскрытие заговора
2021-08-07,Шемкасова Анастасия Петровна,Покорение невозможного
2017-10-23,Кахаков Геннадий Алексеевич,error
2021-11-17,Криволанов Валерий Павлович,Избавление от проклятия
2002-11-24,Петрящева Алиса Ивановна,Изменение будущего мира
2003-09-28,Геркин Константин Фёдорович,Раскрытие заговора
2016-12-11,Стродымова Людмила Михайловна,Приобретение дружбы
2012-05-18,Савукин Семён Максимович,Возрождение таланта
2008-06-11,Грюканов Игорь Леонидович,Покорение страсти
2006-11-23,Дамсонова Александра Эдуардовна,Победа над собой
2006-11-28,Куцаков Алексей Иванович,Достижение цели
2016-05-24,Алюлина Ева Дмитриевна,Воссоединение семьи
2016-11-16,Марзаганов Тарас Леонидович,Покорение неприступной крепости
2002-05-21,Садуллина Елена Богдановна,Восстановление мира и гармонии
2004-05-07,Кадухин Евгений Викторович,Семейное счастье
2006-12-16,Трацевская Карина Ивановна,Разрешение загадки
2011-05-23,Почтина Маргарита Николаевна,Победа над проклятием семьи
2020-05-08,Траксин Виталий Иванович,Предсказание будущего
2014-12-13,Сорнев Михаил Юриевич,Покорение невозможного
2008-05-11,Косапова Ксения Игоревна,Здоровье улучшается
2005-10-10,Аюкина Жанна Богдановна,Обретение счастья
2003-12-12,Сталевский Виталий Василиевич,Обретение баланса сил
2015-05-26,Сочилкин Борис Алексеевич,Победа над силами природы
2019-10-24,Осинин Герасим Сергеевич,Долгожданная встреча
2000-12-21,Солотин Геннадий Юрьевич,Изменение хода истории
2022-10-27,Фиаткина Жанна Ивановна,Восстановление порядка в мире
2001-05-11,Гарькавцев Альберт Леонидович,Победа над силами природы
2003-10-18,Ретьев Евгений Андреевич,Покупка мечты
2016-08-18,Даминский Григорий Виталиевич,Семейное счастье
2020-05-28,Чупров Борис Яковлевич,Рождение ребенка
2023-09-18,Ротанина Людмила Романовна,Приобретение секрета
2015-06-08,Носатов Виталий Максимович,Победа над тьмой внутри
2004-10-25,Пожильцева Инна Петровна,Приключение начинается
2009-06-10,Селынин Александр Сергеевич,Открытие новой магии
2018-05-22,Курзеев Станислав Юриевич,Изменение судьбы нации
2008-11-12,Спасина Анна Евгеньевна,Победа над тьмой внутри
2016-10-11,Хамбеков Никита Олегович,Долгожданная встреча
2011-08-27,Жмирнова Александра Яковлевна,Любовь наступает
2002-12-27,Напшева Виктория Михайловна,Обретение счастья
2008-11-16,Бацалев Руслан Данилович,Победа над судьбой
2011-05-07,Загороднов Юрий Романович,Покорение тайного мира
2006-05-17,Хамхоева Раиса Федоровна,Помощь от незнакомца
2005-08-09,Черписов Руслан Леонидович,Воссоединение с потерянным
2015-10-12,Батулина Юлия Богдановна,Изменение будущего мира
2016-07-16,Должиков Михаил Георгиевич,Покорение неприступной крепости
2008-10-13,Наролин Олег Романович,Открытие новой реальности
2022-12-11,Никулова Надежда Егоровна,Избавление от проклятия
2005-11-12,Серьезнов Владислав Павлович,Покорение невозможного
2015-08-20,Муравкина Марина Петровна,Победа над злом
2016-08-11,Аборонов Георгий Адамович,Помощь от незнакомца
2011-06-21,Ляпорова Валерия Вадимовна,Приобретение секрета
2002-07-25,Хлебянкина Наталья Николаевна,Раскрытие заговора
2006-05-18,Биржева Вера Олеговна,Приобретение дружбы
2001-11-25,Кабелев Артур Денисович,Приобретение знания о прошлом
2023-09-10,Нипольская Жанна Борисовна,Достижение цели
2006-12-18,Суйков Герасим Юриевич,Обретение внутреннего покоя
2021-07-27,Нюхарев Денис Максимович,Изменение судьбы нации
2002-05-27,Закуев Юрий Денисович,Изменение будущего мира
2018-10-13,Дробницкий Степан Михаилович,Обретение мудрости
2015-11-08,Гладнов Вячеслав Романович,Признание любви
2004-05-28,Адасинский Аркадий Адамович,Победа над силами природы
2018-07-27,Гричихин Тарас Аркадиевич,Удачное путешествие
2008-07-22,Разсудова Раиса Федоровна,Победа над смертью
2000-10-17,Парадизов Роман Георгиевич,Здоровье улучшается
2014-10-28,Снетов Семён Денисович,Победа над тьмой внутри
2017-10-25,Дубанов Константин Юрьевич,Рождение ребенка
2005-08-18,Аврамков Пётр Фёдорович,Победа над судьбой
2022-08-11,Анетдинова Ксения Петровна,Победа над тьмой внутри
2016-10-14,Стукнина Яна Николаевна,Признание правды
2009-12-13,Джагаров Федор Денисович,Обретение мира
2010-07-16,Капорулин Артём Олегович,Победа над силами природы
2006-10-24,Саустина Вероника Борисовна,Любовь наступает
2012-08-08,Турахина Яна Богдановна,Здоровье улучшается
2015-06-27,Надточих Максим Петрович,Предсказание будущего
2003-08-16,Шимарский Владимир Валериевич,Покупка мечты
2001-07-17,Стрежнева Тамара Василевна,Победа над злом
2009-08-20,Гагачева Ева Максимовна,Приобретение силы
2007-06-10,Кашеева Ольга Алексеевна,Обретение баланса сил
2017-12-28,Метлицкий Кирилл Николаевич,Разрешение конфликта
2022-09-22,Бушакова Наталья Андреевна,Новое начало
2021-10-24,Рюмышева Кристина Николаевна,Восстановление памяти
2001-07-28,Сипаторов Олег Павлович,Обретение мира
2012-09-12,Свичинский Артур Данилович,Новое начало
2017-06-14,Устюшкин Константин Романович,Успех в бизнесе
2000-06-07,Пивунова Вероника Федоровна,Разрешение конфликта
2016-05-07,Кутяева Вероника Никитична,Рождение ребенка
2020-10-23,Кирясова Раиса Вадимовна,Новое начало
2000-09-14,Видулова Алла Михайловна,Изменение судьбы нации
2014-10-14,Горекина Мария Василевна,Изменение будущего мира
2012-09-26,Шамплетова Зинаида Валерьевна,Обретение внутреннего покоя
2007-06-20,Шаракина Галина Романовна,Возвращение потерянного
2020-09-23,Вербников Андрей Алексиевич,Избавление от проклятия
2018-09-22,Кушунина Виолетта Егоровна,Воссоединение семьи
2005-08-21,Стельников Вадим Юриевич,Приключение начинается
2012-08-14,Княткина Ксения Евгеньевна,Покорение запретных земель
2021-08-24,Булеев Иван Антонович,Возвращение потерянного
2010-07-10,Пешковский Виталий Валериевич,Приключение начинается
2014-05-23,Старастина Клавдия Евгеньевна,Помощь от незнакомца
2001-07-14,Петрухин Геннадий Кириллович,Приобретение сверхъестественных способностей
2017-08-09,Гусарева Алина Эдуардовна,Воссоединение с потерянным
2003-09-21,Смирягин Степан Юрьевич,Покорение запретных земель
2005-06-09,Пиканин Альберт Алексеевич,Победа над тьмой внутри
2019-08-07,Комбарева Алиса Алексеевна,Признание своей уникальности
2017-07-08,Осинягов Аркадий Алексиевич,Победа над проклятием семьи
2016-07-12,Уляшкина Людмила Алексеевна,Возвращение потерянного
2019-12-18,Кочебина Екатерина Кирилловна,Рождение ребенка
2019-05-12,Чуряков Аркадий Аркадиевич,Новые возможности
2005-12-19,Кредисов Герасим Петрович,Успех в учебе
2011-11-21,Годжев Виталий Георгиевич,Разрешение загадки
2018-08-11,Полчанова Зинаида Викторовна,Избавление от проклятия
2010-10-22,Линяев Ярослав Сергеевич,Обретение баланса сил
2007-12-28,Обрезкова Любовь Максимовна,Покорение невидимого врага
2022-11-24,Транкин Артур Михаилович,Семейное счастье
2009-09-21,Батягина Ольга Федоровна,Открытие нового мира
2003-12-18,Пудин Вадим Борисович,Восстановление памяти
2007-07-25,Бруновская Светлана Вадимовна,Покорение магического зверя
2019-09-08,Лошин Денис Михаилович,Спасение от опасности
2010-12-15,Панцирева Анна Никитична,Победа над проклятием семьи
2012-10-25,Мишунина Любовь Ивановна,Приобретение сверхъестественных способностей
2023-06-16,Зигангиров Пётр Алексиевич,Воссоединение с потерянным
2000-12-27,Маркузин Алексей Романович,Изменение характера
2003-08-13,Болышаков Альберт Михаилович,error
2011-06-07,Корнизова Кристина Ивановна,Победа над врагом
2021-06-27,Усыпин Яков Алексеевич,Обретение мудрости
2010-12-25,Зубрилин Роман Фёдорович,Возвращение утраченных воспоминаний
2015-10-13,Шалкинская Надежда Егоровна,Победа над смертью
2020-08-25,Лисафьев Артур Данилович,Победа над сомнениями
2008-11-28,Сплетукова Евгения Дмитриевна,Воссоединение с потерянным
2018-12-14,Стуковкин Вячеслав Петрович,Спасение от опасности
2019-08-25,Лапшев Илья Тимофеевич,Возвращение молодости
2021-05-20,Моралин Альберт Игоревич,Разрешение загадки
2007-08-14,Эльдаров Виктор Романович,Воссоединение с потерянным
2017-07-20,Амуркова Екатерина Федоровна,Восстановление дружбы
2012-10-25,Карюкова Карина Ивановна,Победа над собой
2002-05-14,Черский Виталий Романович,Избавление от проклятия
2010-06-19,Хондогина Алёна Николаевна,Успех в бизнесе
2022-12-12,Аболымов Артур Викторович,Открытие тайны
2011-09-09,Каменев Степан Фёдорович,Новое начало
2019-06-10,Шахиева Любовь Евгеньевна,Возвращение утраченных воспоминаний
2012-11-16,Афиноинова Раиса Игоревна,Приобретение секрета
2011-08-27,Хавкунов Роман Василиевич,Победа над смертью
2023-07-18,Масеткин Герасим Викторович,Успех в искусстве
2021-08-20,Хрипушкина Елизавета Максимовна,Приобретение сверхъестественных способностей
2014-09-19,Атакулиева София Максимовна,Победа над врагом
2009-05-08,Череменин Руслан Николаевич,Признание своей уникальности
2013-10-16,Летовина Евгения Борисовна,Покорение невозможного
2023-06-14,Ривлина Валентина Николаевна,Новая жизнь
2014-11-19,Потанкин Владимир Денисович,Избавление от проклятия
2021-08-26,Икрянников Борис Леонидович,Открытие новой магии
2014-06-21,Сыровешкин Владислав Юриевич,Победа над сомнениями
2017-06-10,Магомаева Алёна Аркадьевна,Новый дом
2016-12-22,Шаволина Надежда Викторовна,Изменение хода истории
2016-08-19,Башкайкина Ксения Ивановна,Воссоединение семьи
2012-11-25,Камлевская Алиса Сергеевна,Покорение страсти
2014-11-19,Лодякова Наталия Петровна,Покорение магического зверя
2018-10-21,Ульчицкая Жанна Никитична,Открытие новой магии
2002-08-15,Умарова Наталья Романовна,Покорение неприступной крепости
2006-07-26,Пистракова Вероника Егоровна,Обретение баланса сил
2019-10-15,Косячкова Полина Ивановна,Покорение тайного мира
2019-07-17,Бутаева Любовь Евгеньевна,Восстановление дружбы
2007-06-15,Сергушова Катерина Эдуардовна,Спасение от опасности
2013-10-14,Белькова Лариса Борисовна,Признание любви
2005-11-11,Ловнева Кристина Максимовна,Успех в бизнесе
2020-10-26,Фоничкин Валерий Фёдорович,Покорение запретных земель
2010-07-09,Козурова Кристина Петровна,Покорение тайного мира
2000-09-13,Культепина Юлия Андреевна,Новая жизнь
2012-08-12,Поплавков Василий Георгиевич,Разрешение загадки
2009-05-23,Колдышов Геннадий Адамович,Новое начало
2005-11-25,Айдашева Дарья Валерьевна,Победа над несправедливостью
2002-10-17,Ситушкина Юлия Егоровна,Признание героем
2004-09-28,Щемелина Лиза Кирилловна,Долгожданная встреча
2003-08-14,Шипкарев Алексей Леонидович,Изменение судьбы
2012-08-16,Калтагова Полина Яковлевна,Покорение неприступной крепости
2001-12-08,Пацуков Яков Виталиевич,Исцеление сердца
2000-11-19,Мурсякаева Ирина Алексеевна,Приобретение знания о прошлом
2005-12-28,Хмелевская Яна Дмитриевна,Признание правды
2011-07-22,Курекова Ольга Викторовна,Признание героем
2023-11-22,Месягутов Валерий Олегович,Возвращение молодости
2006-06-16,Паниотова Алла Богдановна,Рождение ребенка
2018-06-12,Ветошников Яков Иванович,Признание своей уникальности
2001-11-27,Горовых Эдуард Юриевич,Приобретение магической силы
2015-10-10,Лобашкина Любовь Леонидовна,Открытие новой реальности
2017-07-11,Зиадинова Анна Федоровна,Возвращение домой
2020-10-16,Старицын Василий Максимович,Воссоединение с потерянным
2014-06-25,Ципкова Лиза Евгеньевна,Покорение страсти
2022-07-26,Тукачева Дарья Аркадьевна,Победа над судьбой
2014-09-10,Джиянтаева Валентина Федоровна,Возвращение молодости
2021-05-22,Игнатычева Оксана Кирилловна,Семейное счастье
2007-05-18,Кудьмин Анатолий Павлович,Семейное счастье
2017-07-12,Азарухин Роман Георгиевич,Признание своих способностей
2016-06-11,Баровкова Анна Егоровна,Признание своей уникальности
2011-12-09,Палиевская Кристина Борисовна,Здоровье улучшается
2019-05-18,Туйбова Ольга Ивановна,Здоровье улучшается
2000-12-14,Полынков Валентин Яковлевич,Удачное путешествие
2005-11-28,Ганцев Георгий Виталиевич,Приобретение дружбы
2020-11-19,Алимовская Светлана Евгеньевна,Богатство приходит
2006-10-11,Лагдышев Георгий Петрович,Возвращение молодости
2015-08-11,Черчина Клара Романовна,Изменение судьбы
2004-10-19,Бертняев Владимир Аркадиевич,Исцеление сердца
2011-09-07,Выскачков Артём Василиевич,Приобретение сверхъестественных способностей
2010-09-11,Галкова Дарья Алексеевна,Обретение вечной молодости
2019-10-14,Фуфина Виктория Евгеньевна,Покорение запретных земель
2005-06-25,Пернов Александр Юриевич,Помощь от незнакомца
2007-09-17,Косираева Алиса Алексеевна,Обретение душевного спокойствия
2001-09-07,Нестюркина Софья Николаевна,Признание любви
2020-11-26,Зибницкая Вера Вадимовна,Признание своей уникальности
2016-06-24,Вергильева Алена Никитична,Успех в учебе
2021-09-11,Княжеский Валерий Андреевич,Предсказание будущего
2023-07-28,Бабахова София Викторовна,Покорение невидимого врага
2003-11-15,Залютаев Федор Олегович,Открытие новой реальности
2004-05-27,Дороганов Семён Аркадиевич,Предсказание будущего
2005-11-16,Загорова Клавдия Дмитриевна,Успех в учебе
2023-11-20,Спудицкий Степан Михаилович,Освобождение из плена
2005-10-24,Сизинева Клара Борисовна,Покорение магического зверя
2007-06-21,Рослых Алена Алексеевна,Приобретение сверхъестественных способностей
2003-07-18,Дикисова Марина Олеговна,Воссоединение с прошлым
2013-06-28,Пахалуев Георгий Алексиевич,Исцеление сердца
2009-12-15,Могжанов Василий Василиевич,Покорение невозможного
2012-12-26,Шпигунова Алена Петровна,Освобождение из плена
2010-11-23,Алырина Мария Дмитриевна,Восстановление порядка в мире
2022-10-09,Галицина Марина Егоровна,Изменение хода истории
2003-11-10,Акинкина Раиса Кирилловна,Путешествие во времени
2006-07-28,Заводская Кира Максимовна,Избавление от проклятия
2006-07-11,Рогинский Виктор Романович,Изменение характера
2021-09-09,Дулатова Надежда Игоревна,Победа над судьбой
2022-05-16,Ветошкин Ярослав Юриевич,Покорение невидимого врага
2020-10-19,Колбасов Максим Леонидович,Помощь от духов
2010-07-17,Угайкина Оксана Алексеевна,Покорение магического зверя
2000-07-13,Антиничева Ева Вадимовна,Новый дом
2009-09-21,Месковский Василий Алексиевич,Обретение счастья
2012-09-09,Авдоничев Григорий Кириллович,Покорение запретных земель
2010-06-17,Конюшков Степан Юрьевич,Восстановление памяти
2013-09-09,Гандабулов Юрий Викторович,Покупка мечты
2006-12-20,Витякова Зинаида Викторовна,Изменение судьбы
2008-11-20,Филяев Семён Аркадиевич,Возвращение молодости
2019-10-22,Кижикин Геннадий Валериевич,Покорение невидимого врага
2012-06-12,Патрашкова Раиса Евгеньевна,Победа над тьмой
2001-06-24,Толов Борис Адамович,Новые возможности
2011-08-22,Залавкова Елизавета Петровна,Изменение внешности
2022-10-19,Рукозенков Валентин Алексиевич,Победа над врагом
2000-09-14,Пемов Альберт Валериевич,Успех в учебе
2012-10-15,Батрамеев Григорий Леонидович,Воссоединение с любимым
2004-08-19,Лемзякова Ксения Эдуардовна,Обретение мира
2004-05-10,Тадорская Зинаида Викторовна,Покорение невидимого врага
2020-07-14,Тяжких Дмитрий Адамович,Приобретение дружбы
2012-12-20,Русьянов Вячеслав Денисович,Покорение запретных земель
2002-09-08,Вилякин Виталий Олегович,Избавление от проклятия
2016-10-27,Ковганкин Вадим Максимович,Приобретение сверхъестественных способностей
2017-08-23,Лушаков Константин Павлович,Победа над злом
2023-09-28,Кекухова Людмила Федоровна,Изменение характера
2000-07-21,Базылева Клара Сергеевна,Возвращение утраченных воспоминаний
2001-08-16,Керасова Лариса Никитична,Победа над собой
2006-05-25,Спутнова Александра Викторовна,Любовь наступает
2019-05-11,Шмайлова Яна Валерьевна,Приобретение знания о прошлом
2018-06-28,Казявкин Альберт Фёдорович,Новая жизнь
2018-05-24,Замилова Катерина Егоровна,Обретение баланса сил
2000-07-24,Мунзяфяров Владислав Юриевич,Долгожданная встреча
2014-11-25,Плявина Инна Яковлевна,Воссоединение с любимым
2012-06-25,Котлуков Антон Алексеевич,Возвращение потерянного
2013-07-18,Тарикова Клара Валерьевна,Победа над тьмой
2008-12-25,Окритова Алина Николаевна,Победа над проклятием семьи
2012-11-24,Булышев Василий Яковлевич,Возвращение потерянного
2022-08-26,Кутураева Лариса Дмитриевна,Покорение невозможного
2000-07-25,Бредов Герасим Виталиевич,Обретение внутреннего покоя
2005-08-26,Махин Федор Данилович,Приобретение силы
2022-09-28,Мячев Геннадий Леонидович,Любовь наступает
2014-05-14,Шлойкина Ева Борисовна,Новое начало
2022-06-09,Забористов Роман Сергеевич,Возвращение потерянного
2023-09-11,Пряхов Максим Андреевич,Признание героем
2014-08-08,Аладов Борис Фёдорович,error
2004-06-15,Шулянская Алена Эдуардовна,Обретение внутреннего покоя
2005-06-08,Наперова Евгения Андреевна,Покорение тайного мира
2009-12-14,Иливанов Александр Евгеньевич,Восстановление дружбы
2008-07-26,Бурдонова Ксения Эдуардовна,Удачное путешествие
2018-05-23,Катинцева Екатерина Федоровна,Изменение прошлого
2020-11-11,Щарбатых Георгий Евгеньевич,Приключение начинается
2023-09-22,Сейфуллин Вадим Алексеевич,Раскрытие заговора
2000-07-20,Мисюлин Степан Максимович,Признание любви
2023-11-23,Мытковский Герасим Павлович,Обретение внутреннего покоя
2008-06-08,Буккулов Анатолий Максимович,Новая жизнь
2006-09-13,Деканова Юлия Сергеевна,Здоровье улучшается
2000-09-28,Евгешенков Андрей Алексеевич,Признание правды
2008-08-24,Варквасова Юлия Эдуардовна,Новое начало
2019-06-26,Севбьянова Екатерина Ивановна,Семейное счастье
2011-07-19,Севбьянов Станислав Сергеевич,Новая работа
2021-06-10,Кривцова Карина Борисовна,Успех в бизнесе
